識別情報,団体コード,種別,団体名,概要,名称,住所_表記,通称,施設_緯度,施設_経度,ホームページ,施設_電話番号,開始時間,終了時間,自由記述欄,日時備考
74,11224,公園,埼玉県戸田市,,南町児童遊園地,埼玉県戸田市南町4番地,,35.803673,139.674455,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=74,,,,,
75,11224,公園,埼玉県戸田市,,馬場ふれあい公園,埼玉県戸田市 	新曽南2丁目2番地,,35.810011,139.666837,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=75,,,,本公園は、新曽小学校の東側に位置し、その周囲は住宅が密集しており緑の少ない状況でした。,
76,11224,公園,埼玉県戸田市,,本町４丁目児童遊園地,埼玉県戸田市本町4丁目7番地,,35.8076766,139.6813098,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=76,,,,昭和46年に設置された。本公園は戸田南小学校の北側に位置している。,
77,11224,公園,埼玉県戸田市,,中町２丁目児童遊園地,埼玉県戸田市 	中町2丁目9番地,,35.8086874,139.6902494,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=77,,,,昭和４６年に設置された。,
78,11224,公園,埼玉県戸田市,,南町児童公園,埼玉県戸田市 	南町7番地28,,35.805664,139.672725,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=78,,,,本公園は戸田中学校の西側に位置し、その周辺には住宅が密集しており、緑も少ない状況でした。,
79,11224,公園,埼玉県戸田市,,本町２丁目児童遊園地,埼玉県戸田市本町2丁目15番地,,35.808132,139.674705,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=79,,,,昭和47年に整備された。本公園は、多福院の東側に位置している。この地域は住宅が密集しており、遊び場が少ない状態だったので設置された。,
80,11224,公園,埼玉県戸田市,,川岸３丁目遊園地,埼玉県戸田市 	川岸3丁目7番地,,35.803109,139.68176,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=80,,,,昭和５２年に整備された。,
81,11224,公園,埼玉県戸田市,,新曽南１丁目児童遊園地,埼玉県戸田市 	新曽南1丁目10,,35.809999,139.668418,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=81,,,,昭和47年に整備された。この地域は住宅が密集しており、緑が少ない状態なので、緑のオアシスとして、よく利用されている。,
82,11224,公園,埼玉県戸田市,,下前１丁目遊園地,埼玉県戸田市 	下前1丁目14番地,,35.810431,139.68321,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=82,,,,戸田市スカイマンションの提供公園,
83,11224,公園,埼玉県戸田市,,戸田公園駅西口緑地,埼玉県戸田市本町4丁目11番地,,35.8079,139.6775246,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=83,,,,この緑地はJR戸田公園駅に隣接し、環境空間を戸田華かいどう21の整備方針に即して、本整備された最初の緑地である。,
84,11224,公園,埼玉県戸田市,,緩衝緑地,埼玉県戸田市笹目北町3番地,,35.8078187,139.6580739,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=84,,,,昭和54年、北部第一土地区画整理事業の施行により設置されました。,
85,11224,公園,埼玉県戸田市,,新曽沖内児童遊園地,埼玉県戸田市新曽字小玉261番地,,35.814468,139.6704514,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=85,,,,昭和33年に設置され、昭和53年に整備された。,
86,11224,公園,埼玉県戸田市,,氷川町２丁目児童遊園地,埼玉県戸田市氷川町2丁目11番地,,35.8107807,139.6576841,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=86,,,,昭和42年に設置された。,
87,11224,公園,埼玉県戸田市,,喜沢南１丁目児童遊園地,埼玉県戸田市喜沢南1丁目7番地,,35.806932,139.6935128,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=87,,,,昭和４２年に設置される。,
88,11224,公園,埼玉県戸田市,,下前児童遊園地,埼玉県戸田市下前2丁目8番地,,35.807392,139.6851741,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=88,,,,昭和４４年に設置された。,
89,11224,公園,埼玉県戸田市,,新曽北町児童遊園地,埼玉県戸田市 新曽字芦原2342番地,,35.8147838,139.6591216,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=89,,,,本公園は新曽北町会館に位置し昭和46年に設置された。平成9年度に会館立替後施設整備を行った。,
90,11224,公園,埼玉県戸田市,,早瀬児童遊園地,埼玉県戸田市早瀬1丁目7番地,,35.8032743,139.6513121,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=90,,,,昭和46年に整備された。,
91,11224,公園,埼玉県戸田市,,喜沢２丁目児童遊園地（アリスの広場含む）,埼玉県戸田市喜沢2丁目20番地,,35.8095517,139.6952981,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=91,,,,昭和４６年に整備された。,
92,11224,公園,埼玉県戸田市,,喜沢南２丁目児童遊園地,埼玉県戸田市喜沢南２丁目６,,35.8068746,139.6907088,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=92,,,,昭和４７年に整備された。,
93,11224,公園,埼玉県戸田市,,本町3丁目児童遊園地,埼玉県戸田市本町3丁目11番地,,35.809327,139.670397,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=93,,,,昭和47年に整備された。本公園は、本村会館に位置している。この地域は住宅が密集し、緑が少ない状態であった,
94,11224,公園,埼玉県戸田市,,川岸児童遊園地,埼玉県戸田市川岸2丁目6番地,,35.8042104,139.6844522,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=94,,,,昭和４６年に整備された。,
95,11224,公園,埼玉県戸田市,,南根木橋児童遊園地,埼玉県戸田市笹目南町35番地,,35.8129048,139.6516815,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=95,,,,昭和51年に整備された。,
96,11224,公園,埼玉県戸田市,,芦原ちびっこ広場,埼玉県戸田市新曽字稲荷1604番地1,,35.8263779,139.6628901,http://e-toda.kukanjoho.jp/EtodaPark/ParkAtt/ParkAttInfo.aspx?ID=96,,,,昭和50年に整備された。本公園は美笹発電所の東南側に位置している。,
